type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Nhà thuốc,Thuốc uống,Số lần uống,Sáng,Trưa,Tối,Trước ăn,Trong bữa ăn,Sau ăn,Khi đau,Khi ngứa,Khi ra nhiều khí hư,,,,,,,,,,,,
Nhà thuốc,Thuốc uống,Số lần uống (tối đa),Cách 4 giờ,Cách 6 giờ,Tối đa 2 viên mỗi ngày,Tối đa 3 viên mỗi ngày,Tối đa 4 viên mỗi ngày,,,,,,,,,,,,,,,,
Nhà thuốc,Thuốc bôi,Vị trí bôi,Mặt,Chân,Bụng,Lưng,Mông,Âm đạo,,,,,,,,,,,,,,,
Nhà thuốc,Thuốc bôi,Từ khi nào?,Vừa xong,3 giờ trước,6 giờ trước,9 giờ trước,Nửa ngày trước,Hôm qua,Hôm kia,Lâu hơn nữa,,,,,,,,,,,,,
Hỏi bệnh (Hộ sinh),Hỏi bệnh (Tình trạng sức khỏe),Bạn có ăn uống đầy đủ không?,Tôi ăn đủ 3 bữa,Tôi ăn 2 bữa,Tôi ăn 1 bữa,Tôi không thể ăn,Tôi uống đủ nước,Tôi ăn vặt,Khác,,,,,,,,,,,,,,
Hỏi bệnh (Hộ sinh),Hỏi bệnh (Tình trạng sức khỏe),Bạn có ngủ ngon không?,Có,Thỉnh thoảng tỉnh giấc,Thức dậy nhiều lần,Không thể ngủ được,,,,,,,,,,,,,,,,,
Hỏi bệnh (Hộ sinh),Giải thích (Hướng dẫn),Đây là thông tin bạn cần. Hãy đọc tài liệu.,Tăng huyết áp thai kỳ(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese04.pdf,Đái tháo đường thai kỳ(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese05.pdf,Dọa sảy thai(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese06.pdf,Dọa sinh non(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese06.pdf,,,,,,,,,,,,,,,,,
Hỏi bệnh (Hộ sinh),Giải thích (Kế hoạch sinh),Hãy suy nghĩ về mong muốn của bạn trong khi sinh,Kế hoạch sinh(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese09.pdf,,,,,,,,,,,,,,,,,,,,
Hỏi bệnh (Hộ sinh),Giải thích (Sinh con),Đây là thông tin về sinh con. Hãy đọc tài liệu.,Chuẩn bị đồ nhập viện(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese02.pdf,Sinh mổ(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese03.pdf,Thuốc kích thích chuyển dạ(đến Chuỗi hỗ trợ cho mẹ và bé)||https://rasc.jp/wp-content/uploads/vietnamese08.pdf,,,,,,,,,,,,,,,,,,
Chuỗi hỗ trợ cho mẹ và bé,冊子リンク,Nhấn vào mục để đọc tệp PDF.,Bìa (màu)||https://rasc.jp/wp-content/uploads/vietnamese00-0.pdf,Bìa (trắng)||https://rasc.jp/wp-content/uploads/vietnamese00-0W.pdf,Lời mở đầu||https://rasc.jp/wp-content/uploads/vietnamese00-1.pdf,Mục lục||https://rasc.jp/wp-content/uploads/vietnamese00-2.pdf,Những điều sẽ được hỏi khi đi khám phụ khoa||https://rasc.jp/wp-content/uploads/vietnamese01.pdf,Khi liên hệ đến bệnh viện||https://rasc.jp/wp-content/uploads/vietnamese02.pdf,Sinh con ở Nhật||https://rasc.jp/wp-content/uploads/vietnamese03.pdf,Hội chứng cao huyết áp do mang thai (HDP)||https://rasc.jp/wp-content/uploads/vietnamese04.pdf,Bệnh tiểu đường do mang thai (GDM)||https://rasc.jp/wp-content/uploads/vietnamese05.pdf,Dọa xảy thai – Dọa sinh non||https://rasc.jp/wp-content/uploads/vietnamese06.pdf,Liên cầu khuẩn nhóm B||https://rasc.jp/wp-content/uploads/vietnamese07.pdf,Thuốc giục sinh||https://rasc.jp/wp-content/uploads/vietnamese08.pdf,Kế hoạch sinh||https://rasc.jp/wp-content/uploads/vietnamese09.pdf,Sinh hoạt sau khi sinh||https://rasc.jp/wp-content/uploads/vietnamese10.pdf,Nuôiconbằngsữamẹ||https://rasc.jp/wp-content/uploads/vietnamese11.pdf,Điều cần biết về bé||https://rasc.jp/wp-content/uploads/vietnamese12.pdf,Hỗ trợ xã hội||https://rasc.jp/wp-content/uploads/vietnamese13.pdf,Tiêm phòng||https://rasc.jp/wp-content/uploads/vietnamese14.pdf,Các từ/cụm từ hay được dung||https://rasc.jp/wp-content/uploads/vietnamese15.pdf,Chuyên mục. Lời khuyên từ các bà mẹ người nước ngoài khác||https://rasc.jp/wp-content/uploads/vietnamese98.pdf,Danh sách người phụ trách||https://rasc.jp/wp-content/uploads/vietnamese99.pdf
