type,type2,category,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21
Apotheke (orale Medikamente),,Einnahmehäufigkeit,Morgens,Mittags,Abends,Vor dem Essen,Während des Essens,Nach dem Essen,Bei Schmerzen,Bei Juckreiz,Bei vermehrtem Ausfluss,,,,,,,,,,,,
Apotheke (orale Medikamente),,Einnahmehäufigkeit (Maximum),Abstand von 4 Stunden,Abstand von 6 Stunden,Max. 2 Tabletten pro Tag,Max. 3 Tabletten pro Tag,Max. 4 Tabletten pro Tag,,,,,,,,,,,,,,,,
Apotheke (Salben),,Anwendungsbereich,Gesicht,Beine,Bauch,Rücken,Gesäß,Vagina,,,,,,,,,,,,,,,
Apotheke (Salben),,Seit wann?,Gerade eben,Vor 3 Stunden,Vor 6 Stunden,Vor 9 Stunden,Vor einem halben Tag,Seit gestern,Seit vorgestern,Schon länger,,,,,,,,,,,,,
Hebammeninterview,Zustand,Können Sie essen?,Ich esse 3 Mahlzeiten,Ich esse 2 Mahlzeiten,Ich esse 1 Mahlzeit,Ich kann nicht essen,Ich trinke Flüssigkeit,Ich esse Zwischenmahlzeiten,Sonstiges,,,,,,,,,,,,,,
Hebammeninterview,Zustand,Können Sie gut schlafen?,Ja,Ich wache manchmal auf,Ich wache häufig auf,Ich kann kaum schlafen,,,,,,,,,,,,,,,,,
Hebammeninterview,Erklärung (Anleitung),Dies ist eine wichtige Erklärung für Sie. Bitte lesen Sie das Heft.,Schwangerschaftshypertonie(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german04.pdf,Schwangerschaftsdiabetes(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german05.pdf,Drohende Fehlgeburt(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german06.pdf,Drohende Frühgeburt(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german06.pdf,,,,,,,,,,,,,,,,,
Hebammeninterview,Erklärung (Geburtsplan),"Wenn Sie Wünsche für die Geburt haben, überlegen Sie diese bitte.",Geburtsplan(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german09.pdf,,,,,,,,,,,,,,,,,,,,
Hebammeninterview,Erklärung (Geburt),Dies ist eine Erklärung zur Geburt. Bitte lesen Sie das Heft.,Vorbereitung der Aufnahmeartikel(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german02.pdf,Kaiserschnitt(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german03.pdf,Wehenförderndes Medikament(zur Unterstützungsreihe für Mutter und Baby)||https://rasc.jp/wp-content/uploads/german08.pdf,,,,,,,,,,,,,,,,,,
Unterstützungsreihe für Mutter und Baby,冊子リンク,"Klicken Sie auf einen Eintrag, um das PDF zu lesen.",Titelseite (Farbe)||https://rasc.jp/wp-content/uploads/german00-0.pdf,Titelseite (Weiss)||https://rasc.jp/wp-content/uploads/german00-0W.pdf,Einleitung||https://rasc.jp/wp-content/uploads/german00-1.pdf,Inhaltsverzeichnis||https://rasc.jp/wp-content/uploads/german00-2.pdf,Was Sie von Frauenarzt gefragt warden||https://rasc.jp/wp-content/uploads/german01.pdf,Wenn Sie mit dem Krankenhaus Kontakt aufnehmen||https://rasc.jp/wp-content/uploads/german02.pdf,Geburt in Japan||https://rasc.jp/wp-content/uploads/german03.pdf,Schwangerschaft-Bluthochdruck- Syndrom (HDP)||https://rasc.jp/wp-content/uploads/german04.pdf,Schwangerschaftsdiabetes (GDM)||https://rasc.jp/wp-content/uploads/german05.pdf,"Drohender Abort, Drohende Fehlgeburt||https://rasc.jp/wp-content/uploads/german06.pdf",B-Streptokokken in der Schwangerschaft(GBS)||https://rasc.jp/wp-content/uploads/german07.pdf,Geburtseinleitung||https://rasc.jp/wp-content/uploads/german08.pdf,Geburtsplan||https://rasc.jp/wp-content/uploads/german09.pdf,Alltag nach der Geburt||https://rasc.jp/wp-content/uploads/german10.pdf,Stillen||https://rasc.jp/wp-content/uploads/german11.pdf,Über ein Baby||https://rasc.jp/wp-content/uploads/german12.pdf,Soziale Ressourcen||https://rasc.jp/wp-content/uploads/german13.pdf,Schutzimpfungen||https://rasc.jp/wp-content/uploads/german14.pdf,Brauchbare Wörter bei der Geburt||https://rasc.jp/wp-content/uploads/german15.pdf,"Kolumne: Tipps von der Mütter, die in Japan entbunden haben||https://rasc.jp/wp-content/uploads/german98.pdf",Liste der Verantwortlichen||https://rasc.jp/wp-content/uploads/german99.pdf
